customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn Prediction,Churn Probability,Risk Score,Risk Level,Customer Risk Score,Customer Tenure Months,Monthly Charge Value,Total Customer Value,Customer Risk Segment,Tenure Segment,Spending Segment,Customer Value Segment,Strategic Segment
0691-IFBQW,Female,1,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,110.0,4874.8,1,Churn,59.93,59.93,High,59.93,46,110.0,4874.8,High,Established Customer,High Value,High Value,High-Value At-Risk
4992-LTJNE,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),55.3,3983.6,0,Retained,3.37,3.37,Low,3.37,72,55.3,3983.6,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
2202-OUTMO,Female,0,Yes,No,34,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),60.85,2003.6,0,Retained,13.17,13.17,Low,13.17,34,60.85,2003.6,Low,Established Customer,Medium Value,Medium Value,Stable Customer
0810-BDHAW,Female,0,Yes,Yes,24,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,78.4,1832.4,0,Retained,12.64,12.64,Low,12.64,24,78.4,1832.4,Low,Developing Customer,Medium Value,Medium Value,Stable Customer
0229-LFJAF,Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.65,4908.25,0,Retained,1.46,1.46,Low,1.46,72,69.65,4908.25,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
7131-ZQZNK,Female,0,Yes,Yes,60,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),59.85,3590.2,0,Retained,2.51,2.51,Low,2.51,60,59.85,3590.2,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
3442-ZHHCC,Male,0,No,No,68,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),76.9,5023.0,0,Retained,29.82,29.82,Medium,29.82,68,76.9,5023.0,Medium,Loyal Customer,Medium Value,Very High Value,Watchlist Customer
5726-CVNYA,Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.85,146.6,0,Retained,9.0,9.0,Low,9.0,8,19.85,146.6,Low,Developing Customer,Low Value,Low Value,Stable Customer
9871-ELEYA,Female,0,No,Yes,34,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),67.65,2339.3,0,Retained,8.14,8.14,Low,8.14,34,67.65,2339.3,Low,Established Customer,Medium Value,Medium Value,Stable Customer
4257-GAESD,Female,0,No,No,6,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),45.0,298.7,0,Retained,48.97,48.97,Medium,48.97,6,45.0,298.7,Medium,New Customer,Medium Value,Low Value,Watchlist Customer
5173-WXOQV,Male,0,Yes,No,2,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,64.2,143.65,0,Retained,32.69,32.69,Medium,32.69,2,64.2,143.65,Medium,New Customer,Medium Value,Low Value,Watchlist Customer
2040-OBMLJ,Male,0,No,No,31,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),81.7,2548.65,0,Retained,17.57,17.57,Low,17.57,31,81.7,2548.65,Low,Established Customer,High Value,High Value,Stable Customer
6286-ZHAOK,Female,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.55,507.4,0,Retained,19.01,19.01,Low,19.01,20,25.55,507.4,Low,Developing Customer,Low Value,Low Value,Stable Customer
3807-XHCJH,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.0,20.0,0,Churn,56.27,56.27,High,56.27,1,20.0,20.0,High,New Customer,Low Value,Low Value,New Customer At-Risk
3009-JWMPU,Male,0,No,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,96.75,6125.4,1,Churn,71.61,71.61,High,71.61,62,96.75,6125.4,High,Loyal Customer,High Value,Very High Value,High-Value At-Risk
5671-RQRLP,Female,1,Yes,No,70,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),75.65,5411.4,0,Retained,15.17,15.17,Low,15.17,70,75.65,5411.4,Low,Loyal Customer,Medium Value,Very High Value,Loyal Customer
1450-GALXR,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,1058.25,1,Churn,91.5,91.5,Critical,91.5,10,98.5,1058.25,Critical,Developing Customer,High Value,Medium Value,Critical High-Value
8859-AXJZP,Male,0,Yes,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.8,903.8,0,Retained,3.97,3.97,Low,3.97,39,23.8,903.8,Low,Established Customer,Low Value,Low Value,Stable Customer
3174-AKMAS,Female,0,Yes,No,46,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),64.2,3009.5,0,Retained,7.81,7.81,Low,7.81,46,64.2,3009.5,Low,Established Customer,Medium Value,High Value,Stable Customer
3138-BKYAV,Male,0,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.35,489.45,1,Churn,87.3,87.3,Critical,87.3,6,85.35,489.45,Critical,New Customer,High Value,Low Value,Critical High-Value
9926-PJHDQ,Female,0,Yes,Yes,72,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.8,5468.45,0,Retained,21.58,21.58,Low,21.58,72,76.8,5468.45,Low,Loyal Customer,Medium Value,Very High Value,Loyal Customer
7382-DFJTU,Male,0,No,No,18,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,1058.1,0,Retained,32.8,32.8,Medium,32.8,18,55.2,1058.1,Medium,Developing Customer,Medium Value,Medium Value,Watchlist Customer
2798-NYLMZ,Male,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.55,7616.0,0,Retained,39.59,39.59,Medium,39.59,71,108.55,7616.0,Medium,Loyal Customer,High Value,Very High Value,Medium-Risk High-Value
4289-DTDKW,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,4113.1,1,Churn,84.01,84.01,Critical,84.01,40,101.3,4113.1,Critical,Established Customer,High Value,High Value,Critical High-Value
1820-TQVEV,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,1,Churn,93.83,93.83,Critical,93.83,1,69.55,69.55,Critical,New Customer,Medium Value,Low Value,Critical At-Risk
2239-JALAW,Male,0,No,No,58,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.25,6017.65,1,Churn,67.37,67.37,High,67.37,58,103.25,6017.65,High,Loyal Customer,High Value,Very High Value,High-Value At-Risk
4853-RULSV,Male,0,No,No,70,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.0,7250.15,1,Churn,63.82,63.82,High,63.82,70,104.0,7250.15,High,Loyal Customer,High Value,Very High Value,High-Value At-Risk
8098-TDCBU,Female,0,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.25,1108.2,0,Retained,3.46,3.46,Low,3.46,42,25.25,1108.2,Low,Established Customer,Low Value,Medium Value,Stable Customer
3551-GAEGL,Male,0,Yes,Yes,34,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),30.4,938.65,0,Retained,13.96,13.96,Low,13.96,34,30.4,938.65,Low,Established Customer,Low Value,Low Value,Stable Customer
4785-NKHCX,Male,1,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.05,94.15,0,Retained,29.58,29.58,Medium,29.58,5,20.05,94.15,Medium,New Customer,Low Value,Low Value,Watchlist Customer
3196-NVXLZ,Female,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.6,2088.05,0,Churn,64.84,64.84,High,64.84,25,84.6,2088.05,High,Established Customer,High Value,Medium Value,High-Value At-Risk
6275-YDUVO,Female,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.2,178.7,1,Churn,87.47,87.47,Critical,87.47,2,86.2,178.7,Critical,New Customer,High Value,Low Value,Critical High-Value
0036-IHMOT,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,5656.75,0,Retained,17.77,17.77,Low,17.77,55,103.7,5656.75,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
0115-TFERT,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,1,Churn,75.43,75.43,Critical,75.43,21,111.2,2317.1,Critical,Developing Customer,High Value,Medium Value,Critical High-Value
4178-EGMON,Male,0,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),88.0,5986.45,0,Retained,4.23,4.23,Low,4.23,70,88.0,5986.45,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
4220-TINQT,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,6751.35,0,Retained,44.38,44.38,Medium,44.38,61,106.35,6751.35,Medium,Loyal Customer,High Value,Very High Value,Medium-Risk High-Value
5318-YKDPV,Male,0,Yes,Yes,43,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.15,3566.6,0,Retained,8.13,8.13,Low,8.13,43,79.15,3566.6,Low,Established Customer,Medium Value,High Value,Stable Customer
7975-TZMLR,Male,0,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.1,4889.3,0,Churn,52.06,52.06,High,52.06,47,103.1,4889.3,High,Established Customer,High Value,High Value,High-Value At-Risk
0295-QVKPB,Male,0,No,No,5,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),63.95,318.1,0,Retained,38.36,38.36,Medium,38.36,5,63.95,318.1,Medium,New Customer,Medium Value,Low Value,Watchlist Customer
4335-BSMJS,Female,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.8,1563.95,0,Retained,2.3,2.3,Low,2.3,62,25.8,1563.95,Low,Loyal Customer,Low Value,Medium Value,Loyal Customer
2311-QYMUQ,Female,0,Yes,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.45,1430.25,1,Churn,72.79,72.79,High,72.79,16,89.45,1430.25,High,Developing Customer,High Value,Medium Value,High-Value At-Risk
3643-AHCFP,Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.6,644.35,1,Churn,94.3,94.3,Critical,94.3,7,95.6,644.35,Critical,Developing Customer,High Value,Low Value,Critical High-Value
9146-JRIOX,Female,0,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.55,372.45,0,Retained,26.65,26.65,Medium,26.65,14,25.55,372.45,Medium,Developing Customer,Low Value,Low Value,Watchlist Customer
3104-OWCGK,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,90.95,5453.4,1,Churn,65.91,65.91,High,65.91,60,90.95,5453.4,High,Loyal Customer,High Value,Very High Value,High-Value At-Risk
5337-IIWKZ,Male,0,Yes,Yes,34,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,44.85,1442.6,0,Retained,16.25,16.25,Low,16.25,34,44.85,1442.6,Low,Established Customer,Medium Value,Medium Value,Stable Customer
9101-BWFSS,Female,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,108.55,5610.7,1,Churn,66.37,66.37,High,66.37,50,108.55,5610.7,High,Loyal Customer,High Value,Very High Value,High-Value At-Risk
9650-VBUOG,Male,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.05,963.95,0,Retained,1.36,1.36,Low,1.36,38,25.05,963.95,Low,Established Customer,Low Value,Low Value,Stable Customer
3487-EARAT,Female,0,Yes,Yes,70,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),74.1,5222.3,0,Retained,23.27,23.27,Low,23.27,70,74.1,5222.3,Low,Loyal Customer,Medium Value,Very High Value,Loyal Customer
2672-TGEFF,Female,0,Yes,Yes,37,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.8,3340.55,0,Churn,50.57,50.57,High,50.57,37,88.8,3340.55,High,Established Customer,High Value,High Value,High-Value At-Risk
9231-ZJYAM,Female,1,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.85,292.8,1,Churn,87.86,87.86,Critical,87.86,4,78.85,292.8,Critical,New Customer,Medium Value,Low Value,Critical At-Risk
4250-WAROZ,Male,1,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.25,5774.55,0,Retained,26.78,26.78,Medium,26.78,60,93.25,5774.55,Medium,Loyal Customer,High Value,Very High Value,Medium-Risk High-Value
8184-WMOFI,Male,0,Yes,Yes,62,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),71.4,4487.3,0,Retained,18.49,18.49,Low,18.49,62,71.4,4487.3,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
6982-SSHFK,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.4,44.4,1,Churn,69.64,69.64,High,69.64,1,44.4,44.4,High,New Customer,Medium Value,Low Value,New Customer At-Risk
6092-QZVPP,Male,0,No,No,36,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.2,2854.95,0,Retained,13.45,13.45,Low,13.45,36,79.2,2854.95,Low,Established Customer,Medium Value,High Value,Stable Customer
4625-LAMOB,Male,0,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,905.55,0,Retained,0.76,0.76,Low,0.76,44,20.4,905.55,Low,Established Customer,Low Value,Low Value,Stable Customer
0727-BMPLR,Female,1,No,No,55,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.0,5509.3,1,Churn,62.01,62.01,High,62.01,55,100.0,5509.3,High,Loyal Customer,High Value,Very High Value,High-Value At-Risk
0392-BZIUW,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),105.0,7589.8,0,Retained,12.04,12.04,Low,12.04,72,105.0,7589.8,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
1038-ZAGBI,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,229.6,1,Retained,41.46,41.46,Medium,41.46,12,19.8,229.6,Medium,Developing Customer,Low Value,Low Value,Watchlist Customer
6549-NNDYT,Female,0,No,No,13,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.85,394.1,0,Retained,32.96,32.96,Medium,32.96,13,30.85,394.1,Medium,Developing Customer,Low Value,Low Value,Watchlist Customer
3027-ZTDHO,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.9,89.9,1,Churn,92.42,92.42,Critical,92.42,1,89.9,89.9,Critical,New Customer,High Value,Low Value,Critical High-Value
0422-OHQHQ,Female,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.55,295.95,0,Retained,4.58,4.58,Low,4.58,15,20.55,295.95,Low,Developing Customer,Low Value,Low Value,Stable Customer
6916-HIJSE,Female,0,No,No,65,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.85,5459.2,0,Retained,2.82,2.82,Low,2.82,65,84.85,5459.2,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
2316-ESMLS,Female,0,Yes,Yes,12,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),33.15,444.75,0,Retained,10.19,10.19,Low,10.19,12,33.15,444.75,Low,Developing Customer,Low Value,Low Value,Stable Customer
9778-OGKQZ,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),92.0,6782.15,0,Retained,0.27,0.27,Low,0.27,72,92.0,6782.15,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
7408-OFWXJ,Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.8,6510.45,0,Retained,0.09,0.09,Low,0.09,72,89.8,6510.45,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
6007-TCTST,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.8,8476.5,0,Retained,4.42,4.42,Low,4.42,72,115.8,8476.5,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
2252-NKNSI,Male,0,No,Yes,52,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,85.15,4461.85,0,Retained,4.49,4.49,Low,4.49,52,85.15,4461.85,Low,Loyal Customer,High Value,High Value,Loyal Customer
8713-IGZSO,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.85,62.0,0,Retained,21.2,21.2,Low,21.2,2,24.85,62.0,Low,New Customer,Low Value,Low Value,Stable Customer
7905-TVXTA,Female,0,No,No,5,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,64.35,352.65,0,Retained,41.31,41.31,Medium,41.31,5,64.35,352.65,Medium,New Customer,Medium Value,Low Value,Watchlist Customer
7695-PKLCZ,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.5,1424.9,0,Retained,0.71,0.71,Low,0.71,68,20.5,1424.9,Low,Loyal Customer,Low Value,Medium Value,Loyal Customer
2382-BCKQJ,Female,0,No,Yes,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.15,6413.65,1,Churn,68.96,68.96,High,68.96,62,100.15,6413.65,High,Loyal Customer,High Value,Very High Value,High-Value At-Risk
8374-UULRV,Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),86.05,6309.65,0,Retained,2.29,2.29,Low,2.29,72,86.05,6309.65,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
2207-NHRJK,Male,0,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.8,50.8,1,Churn,76.0,76.0,Critical,76.0,1,50.8,50.8,Critical,New Customer,Medium Value,Low Value,Critical At-Risk
3224-DFQNQ,Female,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,89.0,5898.6,0,Retained,16.48,16.48,Low,16.48,66,89.0,5898.6,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
5275-PMFUT,Male,0,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),64.8,4719.75,0,Retained,0.33,0.33,Low,0.33,72,64.8,4719.75,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
4795-UXVCJ,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8,457.3,0,Retained,0.6,0.6,Low,0.6,26,19.8,457.3,Low,Established Customer,Low Value,Low Value,Stable Customer
9777-IQHWP,Male,0,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),93.4,5822.3,0,Retained,17.28,17.28,Low,17.28,64,93.4,5822.3,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
0947-MUGVO,Male,1,Yes,No,20,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.65,1463.5,1,Churn,82.18,82.18,Critical,82.18,20,73.65,1463.5,Critical,Developing Customer,Medium Value,Medium Value,Critical At-Risk
9944-HKVVB,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,307.4,1,Churn,89.06,89.06,Critical,89.06,3,95.1,307.4,Critical,New Customer,High Value,Low Value,Critical High-Value
4124-MMETB,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.65,2104.55,1,Churn,83.11,83.11,Critical,83.11,22,94.65,2104.55,Critical,Developing Customer,High Value,Medium Value,Critical High-Value
3671-SHRSP,Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,80.6,319.15,1,Churn,86.83,86.83,Critical,86.83,4,80.6,319.15,Critical,New Customer,High Value,Low Value,Critical High-Value
0979-MOZQI,Male,0,Yes,No,62,No,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),39.0,2337.45,0,Retained,5.53,5.53,Low,5.53,62,39.0,2337.45,Low,Loyal Customer,Low Value,Medium Value,Loyal Customer
2732-ISEZX,Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.5,104.3,0,Retained,11.68,11.68,Low,11.68,5,20.5,104.3,Low,New Customer,Low Value,Low Value,Stable Customer
3313-QKNKB,Male,0,Yes,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,85.55,5084.65,1,Retained,29.2,29.2,Medium,29.2,59,85.55,5084.65,Medium,Loyal Customer,High Value,Very High Value,Medium-Risk High-Value
0323-XWWTN,Male,0,No,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.4,121.25,0,Retained,7.07,7.07,Low,7.07,3,26.4,121.25,Low,New Customer,Low Value,Low Value,Stable Customer
1937-OTUKY,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),98.2,7015.9,0,Retained,6.22,6.22,Low,6.22,72,98.2,7015.9,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
1573-LGXBA,Male,0,Yes,Yes,57,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),97.55,5598.0,0,Retained,20.75,20.75,Low,20.75,57,97.55,5598.0,Low,Loyal Customer,High Value,Very High Value,Loyal Customer
1764-VUUMT,Male,0,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.95,1269.1,0,Retained,3.04,3.04,Low,3.04,66,19.95,1269.1,Low,Loyal Customer,Low Value,Medium Value,Loyal Customer
5073-WXOYN,Female,0,No,No,60,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.8,3027.4,1,Churn,67.32,67.32,High,67.32,60,50.8,3027.4,High,Loyal Customer,Medium Value,High Value,High-Risk Customer
4713-ZBURT,Male,0,No,Yes,45,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),99.7,4634.35,0,Retained,14.22,14.22,Low,14.22,45,99.7,4634.35,Low,Established Customer,High Value,High Value,Stable Customer
3050-GBUSH,Female,0,No,No,3,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.8,113.95,0,Churn,59.58,59.58,High,59.58,3,34.8,113.95,High,New Customer,Low Value,Low Value,New Customer At-Risk
0207-MDKNV,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.1,1582.75,1,Churn,83.21,83.21,Critical,83.21,15,105.1,1582.75,Critical,Developing Customer,High Value,Medium Value,Critical High-Value
7876-AEHIG,Female,0,No,Yes,51,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),60.15,3077.0,0,Retained,7.72,7.72,Low,7.72,51,60.15,3077.0,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
7945-HLKEA,Female,0,No,No,60,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,64.75,4039.5,0,Retained,7.16,7.16,Low,7.16,60,64.75,4039.5,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
9342-VNIMQ,Male,0,No,No,33,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.65,1665.2,0,Retained,26.37,26.37,Medium,26.37,33,54.65,1665.2,Medium,Established Customer,Medium Value,Medium Value,Watchlist Customer
9851-KIELU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,1,Churn,67.13,67.13,High,67.13,10,110.1,1043.3,High,Developing Customer,High Value,Medium Value,High-Value At-Risk
3523-BRGUW,Male,1,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.3,504.2,0,Retained,1.52,1.52,Low,1.52,26,19.3,504.2,Low,Established Customer,Low Value,Low Value,Stable Customer
3908-BLSYF,Female,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,83.9,497.55,1,Churn,76.83,76.83,Critical,76.83,6,83.9,497.55,Critical,New Customer,High Value,Low Value,Critical High-Value
